Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2021-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Angola,AGO,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2552519216681,71.8886392044557,72.7232825172167,71.2770563190797,72.2202689083442,73.9458883392515,73.1396004507038,73.7344159506134,76.8197936265394,73.4107838285377,74.6181714427266,73.7578589617145,72.1251264392252,67.3061167192922,65.493064622132,70.9542023585248,65.022564178086,61.5997035024139,58.1079750373659,55.7489765055489,54.1938366242148,52.7156787625416,52.245736309469,50.6861160063949,50.7974606805424,49.5682103295777,,,,,,
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5180876255371,32.9981742379589,46.8133288085849,51.152042295146,51.4595442246242,50.6097095765374,51.63636055808,55.953349416169,49.9833654433978,42.7183134087746,41.4454155743781,39.1256637546099,35.8962940284486,33.7527288306467,35.935868087458,36.8694891867287,31.7101954257698,32.1009372127814,35.9129061124767,37.2166378004051,37.1153297675702,35.9625316031337,40.048299596384,41.2889737241069,38.6895007576277,38.6152104692153,,,,,,
Argentina,ARG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.92290746696394,8.7481843073882,9.47164961562942,10.1283424369342,10.7349093475441,11.2051846343744,10.1938555855904,10.9990733955932,11.343009140403,10.3061733856805,11.0779551321774,13.0403729383893,13.2879781249634,12.5181285653079,8.34804553441832,8.95760175539457,10.1878410784258,8.88764897855596,7.60968712045958,8.57406117511144,8.96144595214523,10.1168467244514,9.86670170197468,10.2103228997482,10.9019579336328,10.040077613914,,,,,,
Armenia,ARM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11894434058036,2.30943580318704,6.6776789414769,12.9368336783239,17.7636534122784,9.27435270712397,12.4733043728429,10.1201143904778,9.38056341350592,8.35879537917464,7.16426350401004,5.41911266070411,8.89936675468388,9.81161468294329,8.70790013353829,6.4911737973979,7.65283533358519,7.01726248020608,6.4051674924082,7.80055609506316,9.35981700562644,8.00961530742766,6.56571131176592,6.7712176363861,7.72473444046229,15.7920038357833,,,,,,
Australia,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0095771593438,8.24547226023123,7.51647097195474,8.61699388238724,8.25994677877061,8.21780571247124,8.86597056035989,9.08024283629251,8.59507269440585,8.50727378721517,8.42334065854783,8.37028137206551,8.73872071261756,7.15106567010273,6.68042572078818,6.71197454696042,6.85326682346818,6.95158629028628,6.78956927368411,7.11282715112279,8.10902729265093,8.25618114983427,8.247109347095,9.08848190986827,9.27819845713441,9.18050295980786,,,,,,
Austria,AUT,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.135754145631,24.495798212077,26.1367915752356,26.3578077460666,25.6794546459802,25.6300879484846,24.0368773390085,24.8710509023689,24.4093544161425,26.4383107878083,26.3878560380378,25.4836790363306,24.6848696982507,22.5787940830621,23.2193672987658,24.1744174208452,26.254262515098,28.6009320732652,29.3561662009359,30.5143889874151,30.6592165744001,30.9885937243849,33.4265374778104,34.6806004056175,35.3942733418568,34.3949917477854,,,,,,
Azerbaijan,AZE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722062718119182,0.804646397784736,1.2172505570543,1.98306604791652,1.51596100419613,1.36684006503242,1.7389026644512,1.98984878549775,2.48438139978064,2.14393611406855,2.06564607499202,1.75252349067175,2.35189856073918,2.94478210619856,3.07078446344723,3.3651961564827,2.86158684991581,3.78869994993945,3.08630745943865,3.2691447294693,4.44973428535868,3.55633258575353,2.84552187217877,2.52609484041716,2.11681861563155,2.31075768577815,,,,,,
Belgium,BEL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26946149475781,1.21508173713429,1.19433320119901,0.956473287920865,0.939572923630559,1.26038953981826,1.18440709920024,1.14847831145982,1.29195646368097,1.40065083845512,1.44708348583888,1.58498778095901,1.68571034125753,1.89107981893382,2.02423788988695,2.46693552312784,2.82662388741233,3.32908124864994,3.91175029674187,4.83345935359174,5.83739147556669,6.63206514838302,7.75872906587017,8.12943452255499,9.07399509752252,9.20164053078148,,,,,,
Benin,BEN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7032408560468,94.964848328917,94.8518351322509,94.9888011654341,94.9750351913407,94.7719872182725,84.1459675681926,80.6264318540762,79.5684318860596,76.9054246965801,70.2889919783792,66.8537011707005,64.0377207211989,61.7301932135553,60.6905495723373,59.1908091672101,57.3029210015813,54.4860957112598,54.7576222431712,52.8278434772848,48.1172541013029,49.4518135956395,51.1460156133676,52.710999690266,52.5379882071749,50.8626179373594,,,,,,
Bangladesh,BGD,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6649713034591,73.159667324204,71.6607037258685,70.5571230240722,68.9799071851049,63.8028091687192,62.1240765978699,59.9728561221059,60.2339712856559,60.5343957531165,59.0084842709052,55.7938421288347,54.3221119182556,52.6378623825057,52.1235936467388,50.7759641032431,48.9023976944159,47.4829161545534,45.5814154712449,43.6891169940556,41.0508417943633,39.4378552445795,38.6126786335771,38.7604812718781,37.6344834916176,34.7470690115416,,,,,,
